Vị trí công việc,Nơi làm việc,Mức lương,Thời gian đăng,Kỹ năng yêu cầu,Đường link chi tiết
[HN] Senior Technical Business Analyst AWING CAREER Thoả thuận · Hà Nội Senior Business Analyst 12 ngày trước,Hà Nội,Thỏa thuận,12 ngày trước,"Python, Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/684243
Business Analyst Manager Nova Service Group Thoả thuận · TP.Hồ Chí Minh Manager Business Analyst 12 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,12 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/684180
MIDDLE/SENIOR BUSINESS ANALYST GMO-Z.com RUNSYSTEM JSC. Thoả thuận · Hà Nội Middle/Senior Business Analyst 12 ngày trước,Hà Nội,Thỏa thuận,12 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/684142
Fresher Business Analyst (BA) VNDIRECT Securities Corporation Thoả thuận · Hà Nội Fresher Business Analyst 12 ngày trước,Hà Nội,Thỏa thuận,12 ngày trước,"SQL, Machine Learning, R",https://jobs.xomdata.com/jobs/684024
Senior AI Engineer - APAC + Africa ChainGPT Thoả thuận · Việt Nam Senior AI Engineer 12 ngày trước,Toàn quốc / Chưa rõ,Thỏa thuận,12 ngày trước,"Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/684011
Senior Data Warehouse Architect GONSA Thoả thuận · TP.Hồ Chí Minh Senior Data Engineer 12 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,12 ngày trước,"SQL, Excel, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/684009
Senior IT Business Analyst (Core System / Credit Card Core Experience Required) LOTTE Finance Thoả thuận · Hà Nội Senior Business Analyst 11 ngày trước,Hà Nội,Thỏa thuận,11 ngày trước,"SQL, Machine Learning, R",https://jobs.xomdata.com/jobs/684005
SLT Data Engineering Manager Ampere Thoả thuận · TP.Hồ Chí Minh Manager Data Engineer 11 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,11 ngày trước,"Python, Excel, Spark, AWS, Azure, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/684003
Data Engineer DataXight Thoả thuận · TP.Hồ Chí Minh Data Engineer 11 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,11 ngày trước,"Python, SQL, Tableau, Spark, AWS, ETL, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/683999
"Lead Data Scientist, ZVideo Zalo Thoả thuận · TP.Hồ Chí Minh Lead Data Scientist 12 ngày trước",TP. Hồ Chí Minh,Thỏa thuận,12 ngày trước,"Python, Spark, Machine Learning, R",https://jobs.xomdata.com/jobs/683991
