Vị trí công việc,Nơi làm việc,Mức lương,Thời gian đăng,Kỹ năng yêu cầu,Đường link chi tiết
"(Senior) Business Intelligence (SBS Performance) - Business Intelligence & Planning, Shopee",TP. Hồ Chí Minh,Thỏa thuận,19 phút trước,"Python, SQL, Excel, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/685188
Junior Business Analyst / Chuyên Viên Phân Tích Nghiệp Vụ,Hà Nội,Thỏa thuận,1 giờ trước,"SQL, Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/685181
Data Engineer,Hà Nội,Thỏa thuận,1 giờ trước,"SQL, Spark, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/685179
Business Analyst (All levels),TP. Hồ Chí Minh,Thỏa thuận,3 giờ trước,"Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685176
Senior Data Science,Hà Nội,Thỏa thuận,3 giờ trước,"Python, SQL, Power BI, Tableau, Spark, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685175
Data Analyst,TP. Hồ Chí Minh,Thỏa thuận,3 giờ trước,"Python, SQL, Excel, Pandas, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685173
"Manager, Business Data Analytics, Consumer Banking",TP. Hồ Chí Minh,Thỏa thuận,3 giờ trước,"Python, SQL, Power BI, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685172
Senior AI Engineer,TP. Hồ Chí Minh,Thỏa thuận,3 giờ trước,"Python, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685171
Data Analyst,Hà Nội,Thỏa thuận,4 giờ trước,"Python, Power BI, Tableau, Spark, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/685168
Senior/Lead Business Analyst (data focus),TP. Hồ Chí Minh,Thỏa thuận,4 giờ trước,"Power BI, Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/685167
Data Engineer,Hà Nội,Thỏa thuận,4 giờ trước,"Python, SQL, Power BI, Pandas, Spark, AWS, Azure, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/685165
Data Scientist/ BA Data,Hà Nội,Thỏa thuận,5 giờ trước,"Python, Power BI, Tableau, Spark, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/685161
"Business and Marketing Data Scientist, Applied Machine Learning",Toàn quốc / Chưa rõ,Thỏa thuận,5 giờ trước,"Python, SQL, Machine Learning, R",https://jobs.xomdata.com/jobs/685160
Data Engineering Manager,TP. Hồ Chí Minh,Thỏa thuận,5 giờ trước,"ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/685157
Business Analyst,TP. Hồ Chí Minh,Thỏa thuận,5 giờ trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/685156
Senior AI Engineer (Generative Models — LLM & Foundation Models),TP. Hồ Chí Minh,Thỏa thuận,6 giờ trước,"Python, Excel, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685154
Senior AI Engineer (middle up),TP. Hồ Chí Minh,Thỏa thuận,6 giờ trước,"Python, SQL, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/685153
Hà Nội - Data Engineer>4 năm,Hà Nội,Thỏa thuận,6 giờ trước,"Python, SQL, Spark, AWS, Azure, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/685151
Data Engineer,Hà Nội,Thỏa thuận,6 giờ trước,"Python, SQL, Spark, Machine Learning, R",https://jobs.xomdata.com/jobs/685150
Data Analyst,TP. Hồ Chí Minh,Thỏa thuận,6 giờ trước,"Python, SQL, AWS, Machine Learning, R",https://jobs.xomdata.com/jobs/685149
"Senior AI Engineer (AIML/ CV/ OCR, Yolo, Python, Pytorch)",TP. Hồ Chí Minh,Thỏa thuận,6 giờ trước,"Python, Pandas, AWS, Azure, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685147
[Relocate to Thailand] Data Analyst Senior,TP. Hồ Chí Minh,Thỏa thuận,6 giờ trước,"SQL, Power BI, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685146
Expert/Senior Data Architect,Hà Nội,Thỏa thuận,8 giờ trước,"AWS, Azure, Machine Learning, R",https://jobs.xomdata.com/jobs/685143
AI Engineer,Hà Nội,Thỏa thuận,8 giờ trước,"Docker, Machine Learning, R",https://jobs.xomdata.com/jobs/685141
Business Analyst,TP. Hồ Chí Minh,Thỏa thuận,8 giờ trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/685140
Expert/Senior Data Scientist,Hà Nội,Thỏa thuận,8 giờ trước,"Python, SQL, Spark, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685138
Senior Data & Analytics Engineer (Global Hub),TP. Hồ Chí Minh,Thỏa thuận,8 giờ trước,"SQL, Power BI, Excel, AWS, Azure, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685137
XNOQuant - AI Engineer,TP. Hồ Chí Minh,Thỏa thuận,9 giờ trước,"Python, Machine Learning, R",https://jobs.xomdata.com/jobs/685135
AI Engineer (LLM),Hà Nội,Thỏa thuận,9 giờ trước,"Python, SQL, Machine Learning, R",https://jobs.xomdata.com/jobs/685134
Data Engineer - Dự án Bất động sản/Tài chính,Hà Nội,Thỏa thuận,9 giờ trước,"Python, SQL, Tableau, Spark, AWS, Azure, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/685132
AI Engineer (for Game Development),TP. Hồ Chí Minh,Thỏa thuận,9 giờ trước,"Python, Machine Learning, R",https://jobs.xomdata.com/jobs/685130
Data Engineer - Dự án Bất động sản,Toàn quốc / Chưa rõ,Thỏa thuận,9 giờ trước,"Python, SQL, Tableau, Spark, AWS, Azure, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/685128
Data Scientist,Hà Nội,Thỏa thuận,9 giờ trước,"Python, SQL, Pandas, Docker, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685129
Business Analyst,Hà Nội,Thỏa thuận,10 giờ trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/685127
"AI Engineer Intern - Tech Startup, HCMC Onsite only",TP. Hồ Chí Minh,Thỏa thuận,10 giờ trước,"Python, SQL, Machine Learning, R",https://jobs.xomdata.com/jobs/685126
Data Platform Engineer (Based in Vietnam),Hà Nội,Thỏa thuận,10 giờ trước,"SQL, Tableau, Spark, Machine Learning, R",https://jobs.xomdata.com/jobs/685124
Data Engineer,Hà Nội,Thỏa thuận,10 giờ trước,"Python, SQL, Power BI, Tableau, Spark, Machine Learning, R",https://jobs.xomdata.com/jobs/685123
[Part-time/Freelance] AI Engineer (English Fluency)_All Locations,Hà Nội,Thỏa thuận,11 giờ trước,"Python, Excel, AWS, Azure, Machine Learning, R",https://jobs.xomdata.com/jobs/685121
Processing & Data Analyst (HR Team - Employee Experience)),TP. Hồ Chí Minh,Thỏa thuận,11 giờ trước,"Power BI, Tableau, Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/685118
Junior Business Analyst – Retail & Restaurant Management Products,Hà Nội,Thỏa thuận,12 giờ trước,"Power BI, Excel, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685117
"Senior AI and ML Engineer, Agentic AI Systems",Hà Nội,Thỏa thuận,13 giờ trước,"Python, Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/685113
AI Engineer,TP. Hồ Chí Minh,Thỏa thuận,20 giờ trước,"Python, SQL, Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/684707
AI Engineer,Hà Nội,Thỏa thuận,20 giờ trước,"Python, AWS, Docker, Machine Learning, R",https://jobs.xomdata.com/jobs/684409
Agentic AI Engineer,TP. Hồ Chí Minh,Thỏa thuận,20 giờ trước,"Python, Machine Learning, R",https://jobs.xomdata.com/jobs/684281
Business Analyst,Hà Nội,Thỏa thuận,20 giờ trước,"SQL, Azure, Machine Learning, R",https://jobs.xomdata.com/jobs/683857
Data Annotator (Work From Home),Toàn quốc / Chưa rõ,Thỏa thuận,20 giờ trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/677021
AI Data Quality Analyst,Toàn quốc / Chưa rõ,Thỏa thuận,20 giờ trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/626171
Business Analyst,Hà Nội,Thỏa thuận,20 giờ trước,"SQL, Machine Learning, R",https://jobs.xomdata.com/jobs/620234
Data Engineer (Dong Nai),TP. Hồ Chí Minh,Thỏa thuận,20 giờ trước,"Python, SQL, Azure, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/585319
Senior AI Engineer – Supply Chain (Agent focus),TP. Hồ Chí Minh,Thỏa thuận,20 giờ trước,"Python, Azure, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/473929
"Lead Software Engineer, Customer Data Platform",Toàn quốc / Chưa rõ,Thỏa thuận,20 giờ trước,"Python, SQL, Excel, Spark, AWS, Machine Learning, R",https://jobs.xomdata.com/jobs/261640
CHUYÊN VIÊN PHÂN TÍCH DỮ LIỆU,Hà Nội,15 - 25 triệu,Vừa đăng,"Python, SQL, Power BI, Tableau, Excel, Pandas, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/685163
AI/ML Engineer,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Python, SQL, Spark, Docker, Machine Learning, R",https://jobs.xomdata.com/jobs/685162
[TT.QT&UDDL]_Chuyên viên Quản trị dữ liệu Chi tiết công việc | Vietcombank,Hà Nội,Thỏa thuận,Vừa đăng,"Machine Learning, R",https://jobs.xomdata.com/jobs/685164
Khoa học dữ liệu/ Data Scientist,Hà Nội,20 triệu,Vừa đăng,"Python, SQL, Tableau, Pandas, NumPy, Machine Learning, R",https://jobs.xomdata.com/jobs/685159
Senior AI/Computer Vision Engineer (Egocentric Video),Hà Nội,Thỏa thuận,Vừa đăng,"Python, SQL, AWS, Machine Learning, R",https://jobs.xomdata.com/jobs/685106
Senior Data Business Analyst,Hà Nội,Thỏa thuận,Vừa đăng,"Python, SQL, Power BI, Tableau, AWS, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/685103
"Senior AI and ML Engineer, Agentic AI Systems",TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Python, Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/685097
Technical Business Analyst,TP. Hồ Chí Minh,Thỏa thuận,21 giờ trước,"Excel, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685093
Business Analyst,Hà Nội,Thỏa thuận,22 giờ trước,"Excel, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685089
Business Analyst tiếng Nhật,Hà Nội,Thỏa thuận,Vừa đăng,"Machine Learning, R",https://jobs.xomdata.com/jobs/685083
HN | Senior Business Analyst- Upto 2000$,Hà Nội,Thỏa thuận,Vừa đăng,"Power BI, Machine Learning, R",https://jobs.xomdata.com/jobs/685082
Data Engineer,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Python, SQL, Tableau, Pandas, NumPy, Spark, AWS, Docker, ETL, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685079
"Senior Data Engineer (Databricks, MLOps, AWS)",Hà Nội,Thỏa thuận,Vừa đăng,"Python, SQL, Spark, AWS, ETL, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685077
Data Engineer - Personnal Loans,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Python, SQL, Spark, AWS, ETL, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685074
Data Engineer,Hà Nội,Thỏa thuận,Vừa đăng,"Python, SQL, Power BI, Tableau, AWS, Azure, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/685073
[HN] TRUNG TÂM ĐỔI MỚI SÁNG TẠO - DATA SCIENCE,Hà Nội,Thỏa thuận,Vừa đăng,"Python, SQL, Pandas, NumPy, Docker, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685071
"Junior AI Engineer – Ho Chi Minh City, Vietnam",TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Python, SQL, Excel, Pandas, NumPy, AWS, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685070
Home Racer - Data Scientist,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Python, SQL, AWS, Machine Learning, R",https://jobs.xomdata.com/jobs/685067
Senior Machine Learning Engineer,Hà Nội,Thỏa thuận,Vừa đăng,"Python, SQL, Pandas, NumPy, Spark, AWS, Azure, Docker, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685068
Regional Data Engineer Lead,Toàn quốc / Chưa rõ,Thỏa thuận,Vừa đăng,"Python, SQL, Excel, Spark, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/685066
Teaching Assistant – Data Science & Artificial Intelligence + Digital Business & Technology Innovation,Toàn quốc / Chưa rõ,21 triệu,Vừa đăng,"Python, Excel, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685064
Business Analyst (Mảng Chuyển Đổi Số với Lark Suite),Hà Nội,Thỏa thuận,Vừa đăng,"Excel, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685061
Data Scientist,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Python, SQL, Excel, Spark, Machine Learning, R",https://jobs.xomdata.com/jobs/685059
[Hanoi] Data Analyst (IT based),Hà Nội,Thỏa thuận,Vừa đăng,"Python, SQL, Tableau, Spark, Machine Learning, R",https://jobs.xomdata.com/jobs/685058
Remote - Senior AI Engineer,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Python, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685057
AI Engineer,Hà Nội,Thỏa thuận,Vừa đăng,"Python, AWS, Azure, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685054
Senior Data Engineer,Hà Nội,Thỏa thuận,Vừa đăng,"Python, SQL, Spark, AWS, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685053
Data pipeline,Hà Nội,Thỏa thuận,Vừa đăng,"Python, SQL, Machine Learning, R",https://jobs.xomdata.com/jobs/685052
AI Engineer (Middle Level),Hà Nội,23 - 35 triệu,Vừa đăng,"Python, Pandas, NumPy, Machine Learning, R",https://jobs.xomdata.com/jobs/685051
Middle Data Engineer,Hà Nội,Thỏa thuận,Vừa đăng,"Python, SQL, Spark, Docker, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/685049
(Middle/Senior) Business Analyst (Model Driven Power Apps),TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"SQL, Power BI, Excel, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685048
IT Business Analyst,Hà Nội,Thỏa thuận,Vừa đăng,"Machine Learning, R",https://jobs.xomdata.com/jobs/685045
Business Analyst (Dự Án Y Tế Trong Nước),Hà Nội,Thỏa thuận,Vừa đăng,"Machine Learning, R",https://jobs.xomdata.com/jobs/685044
Database Engineer (PostgreSQL / Optimization),TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"SQL, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/685042
Processing & Data Analyst (EX Team - HR Division),TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Power BI, Tableau, Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/685038
Senior Computer Vision Engineer (Vision AI),TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Python, Machine Learning, R",https://jobs.xomdata.com/jobs/685036
"Chuyên viên, Chuyên viên cao cấp Phân tích dữ liệu và xây dựng mô hình phát hiện gian lận - Khối Quản trị rủi ro (2026TD455215)",Hà Nội,Thỏa thuận,Vừa đăng,"Python, SQL, Machine Learning, R",https://jobs.xomdata.com/jobs/685034
Chuyên viên Phân tích Khách hàng cá nhân - Data Analyst (Retail Banking) - Khối Dữ liệu (2026TD453678),Hà Nội,Thỏa thuận,Vừa đăng,"SQL, Power BI, Tableau, Machine Learning, R",https://jobs.xomdata.com/jobs/685035
[Junior/Middle/Senior] AI Engineer,Hà Nội,Thỏa thuận,Vừa đăng,"Python, AWS, Azure, Machine Learning, R",https://jobs.xomdata.com/jobs/685033
Senior Analytics Engineer (Data Platform),TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Python, SQL, Power BI, Tableau, ETL, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685031
(Mid/Senior) Data Platform Engineer,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Python, SQL, Spark, Docker, ETL, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685030
Senior Data AI Engineer,Toàn quốc / Chưa rõ,Thỏa thuận,Vừa đăng,"Python, SQL, Spark, AWS, Azure, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685029
Business Data Analyst (Pharmaceutical Industry),TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Python, Power BI, Tableau, Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/685028
Senior/ Junior Business Data Analyst (AI products),Hà Nội,Thỏa thuận,Vừa đăng,"Python, SQL, AWS, Azure, Machine Learning, R",https://jobs.xomdata.com/jobs/685026
Chuyên viên Quản lý chất lượng dữ liệu - Data Quality Management Specialist - Khối Dữ liệu (2026TD450981),Hà Nội,Thỏa thuận,Vừa đăng,"Machine Learning, R",https://jobs.xomdata.com/jobs/685024
Chuyên viên Phân tích Khách hàng Doanh nghiệp - Business Customer Data Analyst - Khối Dữ liệu (2026TD451020),Hà Nội,Thỏa thuận,Vừa đăng,"SQL, Power BI, Tableau, Machine Learning, R",https://jobs.xomdata.com/jobs/685025
Kỹ sư Dữ liệu - Data Engineer - Khối Dữ liệu (2026TD450985),Hà Nội,Thỏa thuận,Vừa đăng,"Tableau, AWS, Machine Learning, R",https://jobs.xomdata.com/jobs/685027
"Chuyên viên, Chuyên viên Cao cấp Khoa học Dữ liệu - Data Scientist - Khối Dữ liệu (2026TD450984)",Hà Nội,Thỏa thuận,Vừa đăng,"Python, SQL, Power BI, Tableau, Spark, Machine Learning, R",https://jobs.xomdata.com/jobs/685022
Senior Data Engineer (GCP) | US Market | Big Data,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"SQL, AWS, Azure, ETL, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685020
Data Engineer,Hà Nội,Thỏa thuận,Vừa đăng,"Python, SQL, Spark, AWS, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/685019
Chuyên viên Phân tích và thiết kế Mô hình dữ liệu - Data Analyst - Khối Dữ liệu (2026TD450983),Hà Nội,Thỏa thuận,Vừa đăng,"SQL, Power BI, Tableau, Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/685018
"Business Intelligence Analyst - Business Intelligence & Planning, Shopee",TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Python, SQL, Machine Learning, R",https://jobs.xomdata.com/jobs/685017
Data Analyst (After Sales Parts Business),TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Python, SQL, Power BI, Tableau, Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/685015
Manager of Artificial Intelligence,Hà Nội,Thỏa thuận,Vừa đăng,"AWS, Azure, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685013
Teamlead Data Analyst,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Python, SQL, Machine Learning, R",https://jobs.xomdata.com/jobs/685014
Database Developer,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"SQL, Excel, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/685010
Data Engineer,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Python, SQL, AWS, Azure, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/685009
Business Analyst,Hà Nội,Thỏa thuận,Vừa đăng,"Machine Learning, R",https://jobs.xomdata.com/jobs/685008
Chuyên viên/Chuyên viên Cao cấp Công nghệ mô hình (AI/ML Ops) - Machine Learning Operations (AI/ML Ops) - Khối Dữ liệu (2026TD455214),Hà Nội,Thỏa thuận,Vừa đăng,"Python, SQL, Spark, Docker, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685006
"[Từ Liêm, HN] Data Analyst - Analytics Engineer",Hà Nội,Thỏa thuận,Vừa đăng,"Python, SQL, Power BI, Tableau, Machine Learning, R",https://jobs.xomdata.com/jobs/685007
Data Engineer,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"SQL, Excel, Spark, AWS, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685004
Data Analyst_Onsite Bangkok Thailand,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Python, Machine Learning, R",https://jobs.xomdata.com/jobs/685002
Nhân viên phân tích dữ liệu,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"SQL, Power BI, Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/684930
Senior Data Engineer,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Python, SQL, Excel, AWS, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/684729
Data Scientist - AI/ML (Remote),Toàn quốc / Chưa rõ,Thỏa thuận,Vừa đăng,"Python, SQL, AWS, Azure, Machine Learning, R",https://jobs.xomdata.com/jobs/684433
AI Engineer,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Python, Docker, Machine Learning, R",https://jobs.xomdata.com/jobs/684405
Data Engineer,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Python, SQL, Spark, Docker, Machine Learning, R",https://jobs.xomdata.com/jobs/684404
Senior/Staff Embedded Robotics AI Engineer – Embedded Platform,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Python, Machine Learning, R",https://jobs.xomdata.com/jobs/684284
AI/ML Engineer,Hà Nội,Thỏa thuận,Vừa đăng,"Python, AWS, Azure, Docker, Machine Learning, R",https://jobs.xomdata.com/jobs/684191
Business Analyst,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/683737
Business Analyst Interns,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/683172
Senior Data Analyst,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"SQL, Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/683012
Data Analyst,Hà Nội,Thỏa thuận,Vừa đăng,"SQL, Power BI, Excel, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/674946
Senior Data Scientist,Hà Nội,Thỏa thuận,Vừa đăng,"Python, SQL, Excel, Spark, Machine Learning, R",https://jobs.xomdata.com/jobs/665613
Data Labeling Specialist,Toàn quốc / Chưa rõ,Thỏa thuận,Vừa đăng,"Machine Learning, R",https://jobs.xomdata.com/jobs/661330
Map & Location Data Analyst,Toàn quốc / Chưa rõ,Thỏa thuận,Vừa đăng,"Machine Learning, R",https://jobs.xomdata.com/jobs/626186
Senior Agentic AI engineer,TP. Hồ Chí Minh,Thỏa thuận,Vừa đăng,"Python, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/563196
Data Scientist (Insurance),Hà Nội,Thỏa thuận,Vừa đăng,"Python, SQL, Tableau, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/414654
"Generative AI Engineer, Senior Staff/Manager (LLM/VLM)",Hà Nội,Thỏa thuận,Vừa đăng,"Python, Machine Learning, R",https://jobs.xomdata.com/jobs/117611
Business Analyst (Fintech domain) NobleX Careers Thoả thuận · Hà Nội Business Analyst 2 ngày trước,Hà Nội,Thỏa thuận,2 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/685047
Business Analyst (Tích Hợp) Công ty TNHH Tích hợp Hệ thống Quản lý Quốc tế Đến 20 triệu VNĐ · TP.Hồ Chí Minh Business Analyst 2 ngày trước,TP. Hồ Chí Minh,20 triệu,2 ngày trước,"SQL, Machine Learning, R",https://jobs.xomdata.com/jobs/685043
HR Systems & People Data Governance Expert Sun Group Thoả thuận · Hà Nội Expert Data Analyst 2 ngày trước,Hà Nội,Thỏa thuận,2 ngày trước,"SQL, Power BI, Excel, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/685041
AI Engineer (Fluent in English) Headhunt Thoả thuận · Hà Nội AI Engineer 2 ngày trước,Hà Nội,Thỏa thuận,2 ngày trước,"Python, SQL, Machine Learning, R",https://jobs.xomdata.com/jobs/685023
Senior Data Analyst (Gaming) Razer Thoả thuận · TP.Hồ Chí Minh Senior Data Analyst 2 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,2 ngày trước,"Python, SQL, Power BI, Excel, AWS, Machine Learning, R",https://jobs.xomdata.com/jobs/685016
IT Business Analyst - Middle level Silicon Stack® Thoả thuận · TP.Hồ Chí Minh Middle Business Analyst 2 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,2 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/685012
Business Analyst (BA) Công ty Cổ Phần Công Nghệ Leeon 10 - 15 triệu · Hà Nội Business Analyst 2 ngày trước,Hà Nội,10 - 15 triệu,2 ngày trước,"SQL, Machine Learning, R",https://jobs.xomdata.com/jobs/684998
"Data Analysis (Logistics, Id21374, 1150Usd) HRchannels Group 20 - 25 triệu · Hà Nội Data Analyst 2 ngày trước",Hà Nội,20 - 25 triệu,2 ngày trước,"SQL, Power BI, Machine Learning, R",https://jobs.xomdata.com/jobs/685001
Business Analyst / System Analyst - Thu Nhập Upto 15tr/Tháng CÔNG TY CỔ PHẦN TẬP ĐOÀN HƯƠNG VIỆT 9 - 15 triệu · Hà Nội Business Analyst 2 ngày trước,Hà Nội,9 - 15 triệu,2 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/684990
AI ENGINEER Công ty cổ phần Global AI 15 - 30 triệu · Hà Nội AI Engineer 2 ngày trước,Hà Nội,15 - 30 triệu,2 ngày trước,"Python, SQL, AWS, Azure, Docker, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684966
[Quận 2] Data Analyst - Giám sát vận hành Công Ty Cổ Phần Vacxin Việt Nam - VNVC Thoả thuận · TP.Hồ Chí Minh Data Analyst 2 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,2 ngày trước,"Machine Learning, R",https://jobs.xomdata.com/jobs/684935
Senior Data Analyst Trusting Social Thoả thuận · TP.Hồ Chí Minh Senior Data Analyst 2 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,2 ngày trước,"Python, SQL, Power BI, Tableau, Excel, Machine Learning, R",https://jobs.xomdata.com/jobs/684927
Hà Nội - Hiring AI Engineer/ Python (AI Agent)>= 3 YOE -> Upto 5x. CMC Global Company Limited. Thoả thuận · Hà Nội AI Engineer 2 ngày trước,Hà Nội,Thỏa thuận,2 ngày trước,"Python, AWS, Azure, Docker, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/684926
Senior AI Engineer (AIE) VinSmart Future Thoả thuận · Hà Nội Senior AI Engineer 2 ngày trước,Hà Nội,Thỏa thuận,2 ngày trước,"Python, Machine Learning, R",https://jobs.xomdata.com/jobs/684908
Product Owner/ Senior Business Analyst (Fluent English Skill) Kin Group Thoả thuận · TP.Hồ Chí Minh 3 năm Senior Business Analyst 2 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,2 ngày trước,"Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684891
Senior Data Engineer Mirae Asset Finance Company (Viet Nam) Ltd. $1000 - $2000 · TP.Hồ Chí Minh 3 năm Senior Data Engineer 2 ngày trước,TP. Hồ Chí Minh,Thỏa thuận,2 ngày trước,"Python, SQL, Spark, ETL, Machine Learning, R",https://jobs.xomdata.com/jobs/684837
AI Engineer (Middle Level) (Thu Nhập 20-30 Triệu) K&M Holdings 20 - 35 triệu · Hà Nội 2 năm Middle AI Engineer 2 ngày trước,Hà Nội,20-30 triệu,2 ngày trước,"Python, Docker, Machine Learning, R, Git",https://jobs.xomdata.com/jobs/684793
